Symbol,Company_Name,Sector,Industry,Current_Price,Previous_Close,Day_High,Day_Low,52_Week_High,52_Week_Low,PE_Ratio,Dividend_Yield,Last_Updated,Market_cap (in Cr.),Profit_Margins (%age),Operating_Margins (%age),EBITDA (in Cr.),Volume (in Cr.),Avg_Volume (in Cr.)
NSE:LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,,,110.95999908447266,110.92,111.31,110.63,113.08,101.9,,,18-Oct-2025,,,,,101.69797932889328,105.10036797282028
NSE:COMMOIETF,,,,93.1500015258789,93.06,93.55,92.66,97.83,75.61,,,18-Oct-2025,,,,,1.0006545763916015,0.9860579711524964
NSE:GILT5YBEES,Nippon India ETF Nifty 5 yr Benchmark G-Sec,,,63.29999923706055,63.21,63.59,63.16,71.0,57.6,,,18-Oct-2025,,,,,1.3394406438560487,1.9637305563316345
NSE:ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF,,,10.119999885559082,10.16,10.25,10.11,10.98,8.0,13.080302,,18-Oct-2025,,,,,0.23208802937545778,0.21545277356357576
NSE:ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,,,25.579999923706055,25.56,25.75,25.46,28.48,19.61,41.528236,,18-Oct-2025,,,,,1.3466770019834517,1.4585050876499177
NSE:AUTOIETF,ICICI Prudential Nifty Auto ETF,,,27.93000030517578,27.77,28.03,27.73,28.71,19.72,27.881998,,18-Oct-2025,,,,,2.2440358745193483,2.2655363887542723
NSE:CPSEETF,CPSE ETF,,,93.7699966430664,93.91,94.4,93.27,98.1,74.9,15.241312,,18-Oct-2025,,,,,9.908459874280549,9.128030946219635
NSE:BFSI,,,,28.43000030517578,28.18,28.5,28.2,28.7,21.0,,,18-Oct-2025,,,,,1.1406116122436523,0.748198004031372
NSE:ALPL30IETF,,,,27.889999389648438,27.78,28.0,27.72,31.8,24.0,,,18-Oct-2025,,,,,1.7386151489517212,2.596059712187195
NSE:DIVOPPBEES,Nippon India Mutual Fund - Nippon India ETF Dividend Opportunities,,,78.62999725341797,78.76,79.14,78.3,88.35,68.3,,,18-Oct-2025,,0.0,0.0,,0.34998211777496335,0.630817015965271
NSE:HNGSNGBEES,Nippon India ETF Hang Seng BeES,,,503.0299987792969,508.82,513.79,498.0,579.92,309.05,15.120333,,18-Oct-2025,,,,,15.660380224996949,13.043316353347779
NSE:CONSUMBEES,,,,140.30999755859375,138.24,140.58,138.3,141.34,110.86,,,18-Oct-2025,,0.0,0.0,,5.578178293939209,2.7983285603088377
NSE:INFRAIETF,,,,95.69000244140625,95.36,96.2,95.2,98.53,77.65,,,18-Oct-2025,,,,,1.6332369616699218,1.1444619981994628
NSE:EVINDIA,Mirae Asset Nifty EV and New Age Automotive ETF,,,31.149999618530273,31.2,31.35,31.03,34.99,23.83,31.870834,,18-Oct-2025,,,,,0.3987324551170349,0.8118967050573349
NSE:ITBEES,Nippon India ETF Nifty IT,,,38.22999954223633,38.81,38.81,38.15,49.76,33.63,24.920322,,18-Oct-2025,,,,,56.340907490377425,34.004139498836516
