Symbol,Company_Name,Sector,Industry,Current_Price,Previous_Close,Day_High,Day_Low,52_Week_High,52_Week_Low,PE_Ratio,Dividend_Yield,Last_Updated,Market_cap (in Cr.),Profit_Margins (%age),Operating_Margins (%age),EBITDA (in Cr.),Volume (in Cr.),Avg_Volume (in Cr.)
NSE:5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,367.20001220703125,365.65,369.7,364.5,607.05,311.65,19.235203,,17-Sep-2025,1148.8329728,19.168,21.983999,,0.3456453714904785,1.0286006741943359
NSE:20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,228.60000610351562,225.67,231.0,226.2,321.0,158.2,13.137932,0.55,17-Sep-2025,807.472384,6.603000000000001,10.824,115.8744064,1.1571275108947754,6.094910502731323
NSE:3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,24.899999618530273,24.52,24.96,24.65,34.88,20.22,10.163265,,17-Sep-2025,422.4956928,5.8319997,-1.9109999999999998,31.1275008,0.46837646282444,0.909188626071167
NSE:3MINDIA,3M India Limited,Industrials,Conglomerates,30410.0,30585.0,30760.0,30375.0,37133.75,25718.15,69.04772,0.52,17-Sep-2025,34300.9591296,10.808,18.944,799.4844672,3.989792,18.741683
NSE:AAATECH,AAA Technologies Limited,Technology,Information Technology Services,80.44999694824219,80.64,81.5,80.01,160.85,66.0,29.254545,1.86,17-Sep-2025,103.1916032,13.456000000000001,16.12,3.4494248,0.10793171590576171,0.22566224143981933
NSE:3PLAND,3P Land Holdings Ltd,,,46.0,45.54,46.89,45.01,82.06,34.05,,,17-Sep-2025,,,,,0.0190716,0.07107
NSE:63MOONS,63 moons technologies limited,Technology,Software - Application,939.7000122070312,930.5,942.15,931.0,1130.0,351.0,180.36469,0.13,17-Sep-2025,4329.9966976,-32.753,-205.53499999999997,-229.7157632,3.6693406076660158,24.718714851104735
NSE:A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,18.3799991607666,18.49,18.38,18.35,26.8,12.35,33.41818,,17-Sep-2025,325.984,2.8199999,6.0650002,11.6803504,0.057036813395690916,0.47675328423137664
NSE:360ONE,360 One Wam Limited,Financial Services,Asset Management,1106.4000244140625,1091.1,1106.4,1089.5,1318.0,790.5,41.735195,1.1,17-Sep-2025,44774.6801664,28.326,61.460996,2357.7925632,16.417095482263182,144.44937438745117
NSE:21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,53.150001525878906,53.17,54.23,52.21,125.81,51.7,,4.15,17-Sep-2025,56.238016,-128.09900000000002,69.624,-5.1900248,0.01897455054473877,0.03705618106384277
NSE:AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,56.630001068115234,56.99,57.96,56.31,105.39,49.75,76.52703,0.22,17-Sep-2025,180.073216,7.774,-4.8410002,3.9679,0.2369625764694214,0.7011756842250824
NSE:AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,10.109999656677246,9.99,10.15,9.99,13.79,7.06,Infinity,,17-Sep-2025,102.363744,4.9050003,4.2129997,15.2442832,0.02105205228509903,0.68071537588377
NSE:AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,199.25999450683594,199.17,201.49,198.11,258.0,125.525,56.129578,0.3,17-Sep-2025,417.3799424,9.2930004,14.088999999999999,14.8094,0.11399664285736084,1.8434139871810913
