Symbol,Company_Name,Sector,Industry,Current_Price,Previous_Close,Day_High,Day_Low,52_Week_High,52_Week_Low,PE_Ratio,Dividend_Yield,Last_Updated,Market_cap (in Cr.),Profit_Margins (%age),Operating_Margins (%age),EBITDA (in Cr.),Volume (in Cr.),Avg_Volume (in Cr.)
NSE:ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,5202.0,5212.0,5227.0,5176.0,8871.3,4684.45,61.228813,0.83,18-Oct-2025,110234.7370496,14.234,13.700000000000001,2200.0699392,75.839958,157.2242076
NSE:3MINDIA,3M India Limited,Industrials,Conglomerates,29565.0,29395.0,29665.0,29200.0,37133.75,25718.15,67.05146,0.54,18-Oct-2025,33305.1789312,10.808,18.944,799.4844672,8.4762855,18.0198675
NSE:AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,374.79998779296875,376.55,377.5,370.75,529.5,344.2,57.22137,0.27,18-Oct-2025,13590.0176384,3.338,4.836,884.1249792,18.284767324475098,36.43850457321777
NSE:360ONE,360 One Wam Limited,Financial Services,Asset Management,1164.9000244140625,1171.8,1182.2,1143.1,1318.0,790.5,42.191235,1.02,18-Oct-2025,47358.9972992,28.326,61.460996,2357.7925632,90.58833390855713,144.41475284665526
NSE:ABDL,,Consumer Defensive,Beverages - Wineries & Distilleries,551.5,542.25,562.0,541.9,565.5,279.0,62.813213,0.66,18-Oct-2025,15426.0144128,6.519,10.406,471.7369856,28.59135935,23.8284399
NSE:AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,1605.800048828125,1607.6,1610.0,1596.0,2234.0,1516.9,21.85654,,18-Oct-2025,12712.607744,42.853,51.872003,,7.939878341430664,28.955304740454103
NSE:ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,29805.0,29835.0,29995.0,29665.0,37000.0,25325.0,43.62431,1.59,18-Oct-2025,63335.0258688,22.038000999999998,24.511999,1709.377536,8.512308,23.492301
NSE:AADHARHFC,,Financial Services,Mortgage Finance,503.70001220703125,508.1,510.95,501.0,547.8,346.05,23.384401,,18-Oct-2025,21814.8814848,48.196,61.937,,27.124447137353517,33.885159071197506
NSE:ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,299.29998779296875,300.0,301.8,296.8,307.8,149.01,23.094135,,18-Oct-2025,78209.0305536,11.4379995,16.823,,67.78821479523926,152.9196068231323
NSE:ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,82.27999877929688,83.69,83.69,81.57,335.75,70.55,,,18-Oct-2025,10006.9720064,-5.6760002,-11.135,1635.2700416,13.434480728686523,83.60652514761658
NSE:ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,861.5,862.85,874.65,857.1,911.85,556.45,25.601782,2.78,18-Oct-2025,24899.346432,47.044000000000004,66.091,1334.0300288,14.6318883,27.76933255
NSE:ABREL,Aditya Birla Real Estate Limited,Basic Materials,Paper & Paper Products,1632.5999755859375,1632.1,1641.0,1623.7,3140.0,1562.6,,0.12,18-Oct-2025,18083.8842368,-19.06,-38.074002,-81.3950016,12.049730639807128,26.083886549938963
NSE:ACC,ACC Limited,Basic Materials,Building Materials,1832.699951171875,1860.1,1867.5,1817.7,2378.4,1778.45,14.278924,0.4,18-Oct-2025,34415.771648,10.674,8.599,2994.6724352,32.125580714086915,53.87972913449707
NSE:ABLBL,,Consumer Cyclical,Apparel Retail,136.42999267578125,137.1,137.09,135.3,175.0,129.5,,,18-Oct-2025,16592.5208064,0.77,4.923,539.4574848,7.358829159942627,22.39566544769287
NSE:ACMESOLAR,,Utilities,Utilities - Renewable,276.8999938964844,280.6,281.9,275.0,324.3,167.75,43.882725,0.14,18-Oct-2025,16754.8813312,20.973,72.477996,1601.4052352,21.002947607046508,44.81127981225586
